Date / Time,City,State,Shape,Duration,Summary,Posted
12/03/2020 19:45,Gilbert,AZ,Formation,5 min,"Walking on golf course in Seville neighborhood, formation of lights going in circular rotation, too lights disappearing although no clo",12/23/20
12/03/2020 19:30,Fort Bragg,NC,Rectangle,10 minutes,3 lights horizontally in a row moving horizontally in slow motion towards base. Too slow for a plae or helicopter to stay in the air. T,12/23/20
12/03/2020 19:30,Hilliard,OH,Circle,10 minutes,There was a big circle of lights in the sky. There was one in the middle of 8-10 lights that was a little brighter than the rest. When,12/23/20
12/03/2020 19:30,Cottage grove,OR,Rectangle,15 -20 seconds,"We was in our home the whole property started to shake aggressively!!, we ran out front cause it sounded like an aircraft had crashed",12/23/20
12/03/2020 19:15,Amherst,MA,Chevron,30 seconds,On Friday December 3rd I spotted a black triangle aircraft flying North to South over Amherst Massachusetts.,12/23/20
12/03/2020 19:15,Kirksville,MO,Unknown,1 min,.&#9196; .&#9196; .&#9196; .&#9196; .&#9196; .&#9196;,12/23/20
12/03/2020 19:01,Clifton,CO,Light,2 minutes,Strange lights in a straight line,12/23/20
12/03/2020 19:00,Laramie,WY,Unknown,3 minutes,"Line of 10-12 lights moving in unusual linear, then angled pattern",12/23/20
12/03/2020 19:00,niwot,CO,Light,1 min+,"strange 10+ perfectly diagonal lights over boulder, colorado foothills",12/23/20
12/03/2020 19:00,springfield,IL,Light,15 seconds,saw a vertical line of 6 lights that were equidistant apart rising in the distant sky. They appeared to disappear into the clouds slowl,12/23/20
12/03/2020 19:00,Mountain Home,ID,Formation,2-3 minutes,"A strange formation of lights in the sky, like stars but in a distinct straight line.",12/23/20
12/03/2020 18:42,Phoenix,AZ,Formation,15 seconds,"4 perfectly spaced white lights, traveling slowly, until the lights disappear 1 by 1.",12/23/20
12/03/2020 18:30,Springfield,IL,Other,4 minutes,"Saw between 20-30 diagonally aligned lights that looked like stars. They were southwest of Springfield, Il. They did not move but aft",12/23/20
12/03/2020 18:15,Hollister,CA,Circle,3 min,Many craft moving quickly in a straight line.,12/23/20
